               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067221,            0.030869,            0.012107,             0.53208,             0.57373,             0.50505,             0.22341,            0.046296,            0.017045,            0.003682,            0.070038,           0.0033291,           0.0033291
                   1,            0.049597,             0.02697,            0.005262,             0.64435,             0.61505,             0.64313,             0.28749,            0.042198,            0.016151,            0.003072,            0.040005,           0.0066295,           0.0066295
                   2,             0.04733,            0.026938,           0.0046584,             0.62376,             0.58941,             0.61174,              0.2656,            0.044649,             0.01751,           0.0030834,           0.0099388,           0.0098968,           0.0098968
                   3,            0.045244,            0.027029,           0.0046705,             0.73315,             0.61522,              0.6798,             0.33127,            0.041604,            0.016555,           0.0027884,           0.0098515,           0.0098515,           0.0098515
                   4,            0.043431,            0.026432,           0.0041805,             0.68055,             0.62803,             0.67216,              0.3138,            0.040117,            0.016439,           0.0032152,           0.0098515,           0.0098515,           0.0098515
                   5,            0.042369,            0.026078,           0.0039889,             0.67774,             0.63671,             0.68543,             0.34346,            0.038543,            0.015898,           0.0029771,            0.009802,            0.009802,            0.009802
                   6,            0.041879,            0.026079,           0.0039874,             0.69851,             0.64902,             0.70612,              0.3531,            0.039372,            0.015967,           0.0031139,           0.0097525,           0.0097525,           0.0097525
                   7,            0.040993,            0.025393,           0.0039273,             0.70108,             0.65691,             0.71308,             0.37228,            0.037954,            0.015381,           0.0022156,            0.009703,            0.009703,            0.009703
                   8,            0.040229,            0.025379,           0.0034492,             0.68084,             0.67448,               0.716,             0.36534,            0.037248,            0.015283,           0.0027009,           0.0096535,           0.0096535,           0.0096535
                   9,            0.040053,            0.025307,           0.0036361,             0.71658,             0.68399,             0.74386,             0.38321,            0.036983,            0.015288,           0.0020177,            0.009604,            0.009604,            0.009604
                  10,             0.03978,             0.02526,           0.0034375,             0.73668,              0.6869,             0.76064,             0.39246,            0.036858,             0.01512,           0.0021023,           0.0095545,           0.0095545,           0.0095545
                  11,            0.039414,            0.025016,           0.0033044,             0.70173,             0.70545,             0.75374,             0.40173,            0.036201,            0.015071,           0.0024458,            0.009505,            0.009505,            0.009505
                  12,            0.039178,            0.025137,           0.0033987,             0.73832,             0.71657,             0.77439,             0.41696,            0.035716,             0.01464,           0.0018088,           0.0094555,           0.0094555,           0.0094555
                  13,            0.038695,            0.024973,           0.0033306,             0.72952,             0.72276,             0.76637,             0.40687,            0.036137,            0.014722,           0.0021424,            0.009406,            0.009406,            0.009406
                  14,            0.038652,            0.024714,           0.0032334,             0.75047,             0.71533,             0.77985,             0.41715,            0.035699,            0.014613,           0.0018055,           0.0093565,           0.0093565,           0.0093565
                  15,            0.038292,             0.02465,           0.0031697,             0.75724,             0.72224,             0.79087,             0.42375,            0.035233,            0.014527,           0.0018023,            0.009307,            0.009307,            0.009307
                  16,            0.038269,            0.024583,           0.0030394,             0.75082,             0.73826,             0.78666,             0.42264,            0.035356,            0.014553,           0.0017983,           0.0092575,           0.0092575,           0.0092575
                  17,             0.03794,            0.024666,           0.0031649,             0.76547,             0.71499,             0.79179,             0.41517,            0.035289,            0.014654,            0.001771,            0.009208,            0.009208,            0.009208
                  18,            0.037737,            0.024415,           0.0029034,             0.76494,             0.71147,             0.79087,             0.43165,            0.035103,            0.014341,           0.0022469,           0.0091585,           0.0091585,           0.0091585
                  19,            0.037433,            0.024234,           0.0028397,             0.76871,             0.73475,              0.8002,             0.43413,            0.034585,            0.014182,           0.0016508,            0.009109,            0.009109,            0.009109
                  20,            0.037458,             0.02425,           0.0029022,             0.75384,             0.74977,              0.8065,             0.44687,            0.034492,            0.014111,            0.001514,           0.0090595,           0.0090595,           0.0090595
                  21,            0.037179,            0.024357,           0.0026069,             0.76217,             0.74517,             0.81151,             0.44834,            0.034036,            0.013989,           0.0018806,             0.00901,             0.00901,             0.00901
                  22,            0.037112,               0.024,           0.0027217,             0.78419,             0.75668,             0.82415,             0.45205,            0.034375,            0.013909,           0.0015398,           0.0089605,           0.0089605,           0.0089605
                  23,            0.036804,            0.023851,           0.0025789,              0.7676,             0.75141,             0.80465,             0.44021,            0.034473,            0.014118,           0.0019809,            0.008911,            0.008911,            0.008911
                  24,            0.036892,            0.024112,           0.0026077,             0.78732,             0.75242,             0.82438,             0.46046,            0.033875,            0.013724,           0.0014505,           0.0088615,           0.0088615,           0.0088615
                  25,             0.03667,            0.024077,           0.0026717,             0.76235,             0.76778,             0.82843,             0.45671,            0.033674,            0.013853,           0.0013762,            0.008812,            0.008812,            0.008812
                  26,            0.036524,            0.024162,           0.0025239,             0.76937,             0.77118,             0.82854,             0.47016,            0.033055,             0.01372,           0.0014754,           0.0087625,           0.0087625,           0.0087625
                  27,            0.036479,            0.023919,           0.0024701,             0.78241,             0.77656,             0.83953,             0.46976,            0.033178,            0.013573,           0.0013336,            0.008713,            0.008713,            0.008713
                  28,             0.03616,            0.023683,           0.0025796,             0.79137,             0.77843,             0.84334,             0.47736,            0.033213,            0.013583,           0.0013832,           0.0086635,           0.0086635,           0.0086635
                  29,             0.03623,            0.023949,           0.0024904,             0.79358,             0.77611,             0.84073,             0.47659,            0.033226,            0.013501,           0.0013554,            0.008614,            0.008614,            0.008614
                  30,            0.036026,            0.023614,           0.0026047,             0.77229,             0.79367,             0.84893,             0.48916,            0.032834,            0.013436,           0.0012939,           0.0085645,           0.0085645,           0.0085645
                  31,            0.036044,            0.023673,           0.0024426,             0.79534,             0.77984,             0.84619,             0.48239,            0.032874,            0.013462,           0.0011773,            0.008515,            0.008515,            0.008515
                  32,            0.035707,            0.023408,           0.0023219,             0.78536,             0.78909,             0.84997,             0.48689,            0.032444,            0.013337,           0.0012169,           0.0084655,           0.0084655,           0.0084655
                  33,            0.035534,            0.023331,           0.0023871,             0.79853,             0.78366,             0.85095,              0.4909,            0.032201,            0.013309,           0.0011647,            0.008416,            0.008416,            0.008416
                  34,             0.03532,            0.023419,           0.0022742,             0.80655,             0.79725,             0.85976,             0.49722,            0.032211,            0.013185,           0.0011975,           0.0083665,           0.0083665,           0.0083665
                  35,            0.035342,            0.023352,            0.002266,             0.80526,             0.78873,             0.85866,             0.49541,            0.031933,            0.013173,           0.0012187,            0.008317,            0.008317,            0.008317
                  36,            0.035288,            0.023237,           0.0022359,             0.79243,             0.80492,              0.8612,             0.49893,            0.032127,            0.013148,           0.0011775,           0.0082675,           0.0082675,           0.0082675
                  37,            0.035359,            0.023356,           0.0023895,             0.79908,              0.7993,             0.85995,             0.50439,            0.031867,            0.013086,            0.001205,            0.008218,            0.008218,            0.008218
                  38,            0.035153,            0.023389,           0.0023892,             0.81151,             0.80027,             0.86792,             0.50909,            0.031568,            0.013015,           0.0011738,           0.0081685,           0.0081685,           0.0081685
                  39,            0.034801,            0.023145,           0.0021836,             0.82034,             0.80343,             0.87204,             0.51061,            0.031178,             0.01294,           0.0011866,            0.008119,            0.008119,            0.008119
                  40,            0.034875,            0.023262,           0.0021546,             0.81862,             0.80822,             0.86906,             0.50516,            0.031468,            0.012965,           0.0011037,           0.0080695,           0.0080695,           0.0080695
                  41,              0.0347,             0.02317,           0.0023064,             0.82707,             0.80358,             0.87179,             0.50879,            0.031514,            0.012868,           0.0010286,             0.00802,             0.00802,             0.00802
                  42,            0.034619,            0.022973,           0.0020989,              0.8159,             0.81059,             0.87405,             0.51639,            0.031245,            0.012783,           0.0011288,           0.0079705,           0.0079705,           0.0079705
                  43,            0.034717,            0.023091,           0.0023198,             0.80372,             0.82123,             0.87527,             0.51753,            0.030958,            0.012806,           0.0010985,            0.007921,            0.007921,            0.007921
                  44,            0.034472,            0.023048,           0.0022223,             0.83093,             0.81024,             0.88125,             0.52007,            0.030878,            0.012728,           0.0010502,           0.0078715,           0.0078715,           0.0078715
                  45,            0.034171,            0.022795,           0.0020543,             0.81631,             0.81774,             0.87951,             0.52576,            0.030914,            0.012675,           0.0010171,            0.007822,            0.007822,            0.007822
                  46,            0.034327,            0.022925,            0.002164,             0.82086,             0.82207,             0.88367,             0.52513,             0.03101,            0.012621,           0.0011039,           0.0077725,           0.0077725,           0.0077725
                  47,            0.034299,            0.022895,           0.0022574,             0.82502,             0.82888,             0.88735,             0.52764,            0.030655,            0.012585,           0.0011084,            0.007723,            0.007723,            0.007723
                  48,             0.03409,            0.022786,           0.0021161,             0.82987,             0.82379,             0.88792,             0.53255,            0.030451,            0.012516,           0.0011076,           0.0076735,           0.0076735,           0.0076735
                  49,            0.034063,            0.022676,           0.0020127,             0.82467,             0.82735,             0.89076,              0.5356,              0.0304,            0.012451,           0.0010601,            0.007624,            0.007624,            0.007624
                  50,             0.03378,            0.022584,           0.0019698,             0.81972,             0.83086,             0.88791,             0.53293,            0.030233,            0.012463,           0.0010555,           0.0075745,           0.0075745,           0.0075745
                  51,            0.033823,            0.022722,           0.0019425,             0.82117,             0.83806,             0.89147,             0.53583,            0.030049,            0.012467,           0.0010587,            0.007525,            0.007525,            0.007525
                  52,            0.033806,            0.022732,           0.0020728,              0.8425,              0.8151,             0.89118,             0.53724,            0.030057,            0.012431,           0.0010149,           0.0074755,           0.0074755,           0.0074755
                  53,            0.033693,            0.022432,           0.0019276,              0.8431,             0.82569,             0.89164,             0.53725,             0.02995,            0.012373,           0.0010305,            0.007426,            0.007426,            0.007426
                  54,            0.033426,            0.022539,           0.0020956,             0.83603,             0.84051,             0.89725,             0.54097,            0.029951,            0.012306,           0.0010772,           0.0073765,           0.0073765,           0.0073765
                  55,            0.033456,            0.022585,           0.0019477,             0.83653,             0.84179,             0.89911,             0.54475,            0.029845,            0.012271,           0.0011156,            0.007327,            0.007327,            0.007327
                  56,            0.033377,            0.022424,           0.0018279,             0.83272,              0.8401,             0.89787,             0.54545,             0.02979,            0.012258,           0.0010748,           0.0072775,           0.0072775,           0.0072775
                  57,            0.033379,            0.022283,           0.0020715,             0.83565,             0.85392,              0.9009,             0.54896,             0.02974,            0.012206,            0.001012,            0.007228,            0.007228,            0.007228
                  58,            0.033247,            0.022422,           0.0019318,             0.83998,             0.85018,             0.90118,             0.55011,            0.029649,            0.012145,           0.0010147,           0.0071785,           0.0071785,           0.0071785
                  59,            0.033117,            0.022117,           0.0019029,             0.84797,             0.84201,             0.90316,             0.55193,            0.029498,            0.012116,          0.00099422,            0.007129,            0.007129,            0.007129
                  60,            0.033076,            0.022245,           0.0019004,             0.85113,             0.84492,             0.90414,             0.55331,             0.02936,            0.012092,          0.00098713,           0.0070795,           0.0070795,           0.0070795
                  61,            0.032779,            0.022098,           0.0018909,             0.85079,             0.84366,             0.90523,             0.55611,             0.02918,            0.012052,          0.00097145,             0.00703,             0.00703,             0.00703
                  62,            0.032919,            0.021984,           0.0019787,             0.86215,             0.83961,             0.90694,             0.55731,            0.029109,            0.012021,          0.00095097,           0.0069805,           0.0069805,           0.0069805
                  63,             0.03276,            0.022007,           0.0017991,             0.84668,             0.84838,             0.90817,             0.55866,            0.029045,            0.011982,          0.00094425,            0.006931,            0.006931,            0.006931
